USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
49;1;4;3;45;105;0.682539701461792;0.3631606499354045;0.3709765275319417;31.566;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(carne,V1).[-V1@4, V1]:~ category(1).[1@3];3.0;0.0;0.0;0.01571;0.48214;0.50214;0
50;1;4;3;45;105;0.6190476020177206;0.29993724822998047;0.29797979195912677;44.029;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1).[V1@3, V1]:~ category(4).[1@4];3.0;0.0;0.27077;0.0;0.36462;0.36462;0
51;1;4;3;45;105;0.644444465637207;0.31075270970662433;0.3367794354756673;39.158;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(uova,V1).[-1@1, V1]:~ category(1).[-1@4];3.0;0.0;0.04348;0.0;0.47826;0.47826;0
52;1;4;3;45;105;0.5746031602223715;0.33748475710550946;0.24291938543319702;27.442;:~ value(pesce,V1).[-V1@1, V1]:~ value(pesce,V1).[1@4, V1]:~ value(uova,V1).[V1@3, V1];3.0;0.0;0.30991;0.0;0.30991;0.38017;0
53;1;4;3;45;105;0.6317460536956787;0.2718101739883423;0.28882575035095215;27.081;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(farinacei,V1).[-V1@1, V1]:~ category(1).[-1@4];3.0;0.0;0.32308;0.0;0.33846;0.33846;0
0;1;5;3;105;105;0.720634937286377;0.3910256226857503;0.46204280853271484;2995.71;:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(pesce,V1).[-V1@3, V1]:~ category(1).[1@5];5.0;0.0;0.0275;0.07;0.22977;0.22977;0.44295
1;1;5;3;105;105;0.8031746546427408;0.598447322845459;0.625944177309672;1473.15;:~ value(erbe_spezie_e_condimenti,V1).[1@3, V1]:~ value(forno,V1).[-V1@5, V1]:~ value(frittura,V1).[-V1@2, V1]:~ category(4).[1@1]:~ value(verdure_e_ortaggi,V1).[-V1@4, V1];5.0;0.0;0.01;0.02;0.04;0.25143;0.67857
2;1;5;3;105;105;0.7523810068766276;0.41132638851801556;0.43633278210957843;395.323;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[V1@3, V1]:~ value(carne,V1).[V1@5, V1]:~ category(1).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[V1@4, V1];5.0;0.0;0.02445;0.02778;0.05556;0.37128;0.52094
3;1;5;3;105;105;0.8476190567016602;0.5199692646662394;0.5198322137196859;1004.85;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(pasta,V1).[1@3, V1]:~ category(4).[1@4]:~ value(forno,V1), category(4).[-V1@5, V1];5.0;0.0;0.01;0.0403;0.0403;0.07485;0.83455
4;1;5;3;105;105;0.7015873591105143;0.3670033812522888;0.3693625529607137;1578.92;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1).[1@4, V1]:~ value(carne,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1).[-V1@2, V1]:~ value(forno,V1), category(4).[-V1@5, V1];5.0;0.0;0.01;0.03455;0.03455;0.42591;0.495
5;1;5;3;105;105;0.6126983960469564;0.3924483060836792;0.4153289000193278;1310.11;:~ value(erbe_spezie_e_condimenti,V1).[-1@3, V1]:~ value(pesce,V1).[V1@4, V1]:~ category(1).[-1@1]:~ value(verdure_e_ortaggi,V1), category(3).[V1@2, V1]:~ value(forno,V1), category(4).[-1@5, V1];5.0;0.0;0.01759;0.05518;0.16313;0.32747;0.43663
6;1;5;3;105;105;0.6761905352274576;0.3492507537206014;0.3514132897059123;5727.41;:~ value(forno,V1).[V1@3, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1), category(4).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@5, V1];4.0;0.0;0.0;0.07609;0.1087;0.21739;0.59783
7;1;5;3;105;105;0.6571428775787354;0.4275209903717041;0.4156590700149536;1388.15;:~ value(erbe_spezie_e_condimenti,V1).[-1@3, V1]:~ value(frittura,V1).[V1@1, V1]:~ value(forno,V1).[1@4, V1]:~ value(pasta,V1).[-1@5, V1]:~ value(verdure_e_ortaggi,V1).[V1@2, V1];5.0;0.0;0.01;0.04;0.04;0.2475;0.6625
8;1;5;3;105;105;0.7714285850524902;0.44871795177459717;0.437780499458313;632.476;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(carne,V1).[-1@4, V1]:~ value(verdure_e_ortaggi,V1).[-1@2, V1]:~ category(3).[1@3]:~ value(forno,V1), category(4).[-1@5, V1];5.0;0.0;0.01;0.01727;0.03455;0.06909;0.86909
9;1;5;3;105;105;0.7396825154622396;0.42345190048217773;0.4199717839558919;1047.23;:~ value(farinacei,V1).[1@5, V1]:~ value(frittura,V1).[V1@3, V1]:~ value(pesce,V1).[-V1@2, V1]:~ category(4).[-1@4]:~ value(verdure_e_ortaggi,V1).[-V1@1, V1];5.0;0.0;0.01;0.0225;0.075;0.39375;0.49875
10;1;5;3;105;105;0.8285713990529379;0.4929742415746053;0.5075757503509521;187.929;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(carne,V1).[V1@5, V1]:~ category(3).[-1@3]:~ value(farinacei,V1), category(3).[V1@4, V1];5.0;0.0;0.01;0.0403;0.0656;0.28553;0.59857
11;1;5;3;105;105;0.7460317611694336;0.4343532721201579;0.4135396480560303;1515.36;:~ value(uova,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1).[-V1@3, V1]:~ category(3).[1@2]:~ value(carne,V1), category(4).[-1@4, V1]:~ value(forno,V1), category(4).[-1@5, V1];5.0;0.0;0.01;0.03008;0.26067;0.26067;0.43858
12;1;5;3;105;105;0.7587301731109619;0.4940171241760254;0.5111111005147299;162.991;:~ value(farinacei,V1).[-V1@1, V1]:~ category(4).[-1@5]:~ value(carne,V1).[-V1@4, V1];3.0;0.0;0.01;0.0;0.0;0.01429;0.97571
13;1;5;3;105;105;0.6253968477249146;0.3296703298886617;0.4473484754562378;2641.23;:~ value(erbe_spezie_e_condimenti,V1).[-1@4, V1]:~ value(farinacei,V1).[-V1@1, V1]:~ value(forno,V1).[-1@3, V1]:~ value(verdure_e_ortaggi,V1), category(4).[-1@5, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@2, V1];5.0;0.0;0.01;0.02357;0.21964;0.24893;0.49786
14;1;5;3;105;105;0.7777778307596842;0.4329954783121745;0.43099133173624676;1770.45;:~ value(farinacei,V1).[-V1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(uova,V1).[-V1@4, V1]:~ category(5).[1@5]:~ value(verdure_e_ortaggi,V1).[-1@1, V1];5.0;0.0;0.01;0.02;0.105;0.11333;0.75167
15;1;5;3;105;105;0.7269841829935709;0.4513463576634725;0.4466404914855957;426.44;:~ value(funghi_e_tartufi,V1).[V1@4, V1]:~ value(uova,V1).[-V1@1, V1]:~ value(carne,V1).[-V1@2, V1]:~ category(3).[1@5]:~ value(forno,V1), category(4).[-1@3, V1];5.0;0.0;0.03543;0.08857;0.12514;0.25029;0.50057
16;1;5;3;105;105;0.720634937286377;0.48121694723765057;0.45371556282043457;251.96;:~ value(farinacei,V1).[-V1@4, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(pasta,V1), category(3).[-V1@5, V1];4.0;0.0;0.08;0.0;0.105;0.28;0.535
17;1;5;3;105;105;0.7777777512868246;0.4435373942057292;0.485185186068217;628.678;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[-1@4, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(carne,V1).[-V1@5, V1]:~ value(uova,V1).[1@2, V1];5.0;0.0;0.01;0.01727;0.05182;0.34534;0.57557
18;1;5;3;105;105;0.7460317611694336;0.4608980019887288;0.4259259303410848;962.751;:~ value(pesce,V1).[-1@1, V1]:~ value(frittura,V1).[-V1@3, V1]:~ value(pasta,V1).[-1@4, V1]:~ category(5).[-1@5]:~ value(carne,V1).[V1@2, V1];5.0;0.0;0.04;0.05;0.1;0.305;0.505
19;1;5;3;105;105;0.7904761632283529;0.4444444576899211;0.4722222487131755;1609.87;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(pesce,V1).[V1@4, V1]:~ value(carne,V1).[V1@3, V1]:~ category(4).[-1@5]:~ value(verdure_e_ortaggi,V1).[V1@1, V1];5.0;0.0;0.01;0.02062;0.03438;0.09656;0.83844
20;1;5;3;105;105;0.6317460139592489;0.46180009841918945;0.3795321782430013;325.381;:~ value(farinacei,V1).[V1@4, V1]:~ value(pesce,V1).[V1@5, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ category(3).[1@2];5.0;0.0;0.01;0.015;0.11621;0.38924;0.46955
21;1;5;3;105;105;0.7904762427012125;0.4531290928522746;0.4885290463765462;1999.77;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[-1@5, V1]:~ value(funghi_e_tartufi,V1).[-1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(carne,V1), category(4).[-V1@4, V1];5.0;0.0;0.01;0.01727;0.03455;0.06909;0.86909
22;1;5;3;105;105;0.7396825949350992;0.5004140535990397;0.5166616439819336;2323.21;:~ value(erbe_spezie_e_condimenti,V1).[-1@3, V1]:~ value(funghi_e_tartufi,V1).[-1@5, V1]:~ value(pesce,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(forno,V1), category(1).[-1@4, V1];5.0;0.0;0.04;0.045;0.18375;0.24375;0.4875
23;1;5;3;105;105;0.688888947168986;0.5249554316202799;0.4398429791132609;241.671;:~ value(farinacei,V1).[-V1@3, V1]:~ value(uova,V1).[1@2, V1]:~ value(carne,V1), category(4).[V1@1, V1]:~ value(forno,V1), category(4).[-V1@4, V1]:~ value(forno,V1), category(1).[-1@5, V1];5.0;0.0;0.01;0.02;0.196;0.325;0.449
24;1;5;3;105;105;0.6380952994028727;0.3018219868342082;0.35213033358256024;728.106;:~ value(forno,V1).[V1@3, V1]:~ value(frittura,V1).[V1@2, V1]:~ value(pasta,V1).[-1@5, V1]:~ value(carne,V1).[V1@4, V1]:~ value(verdure_e_ortaggi,V1).[V1@1, V1];5.0;0.0;0.01;0.015;0.22125;0.25125;0.5025
25;1;5;3;105;105;0.6698412895202637;0.33950618902842206;0.34285712242126465;779.981;:~ value(erbe_spezie_e_condimenti,V1).[-1@2, V1]:~ value(frittura,V1).[1@3, V1]:~ category(5).[1@4]:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(carne,V1), category(4).[V1@5, V1];5.0;0.0;0.01;0.09806;0.11306;0.22611;0.55278
26;1;5;3;105;105;0.6952381134033203;0.4762086868286133;0.4940171241760254;3955.2;:~ value(erbe_spezie_e_condimenti,V1).[1@5, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(frittura,V1).[-1@4, V1]:~ value(uova,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[V1@2, V1];5.0;0.0;0.01;0.04;0.05625;0.40937;0.48437
27;1;5;3;105;105;0.7015873591105143;0.5009705225626627;0.5786137183507284;437.849;:~ value(forno,V1).[V1@5, V1]:~ value(pesce,V1).[1@2, V1]:~ value(pesce,V1).[-V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@3, V1]:~ value(frittura,V1), category(1).[1@4, V1];5.0;0.0;0.0201;0.0234;0.07957;0.38975;0.48718
28;1;5;3;105;105;0.7904761632283529;0.46589144070943195;0.4863731861114502;818.416;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(pasta,V1).[-V1@3, V1]:~ category(1).[-1@5]:~ category(5).[-1@4];5.0;0.0;0.0275;0.045;0.21985;0.23588;0.47176
