USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;CORRECT;UNCERTAIN;INCORRECT;CORRECTP;UNCERTAINP;INCORRECTP;CORRECT_UDISCARDEDP;TRAIN_TIME;THEORY
3;5;5;3;105;105;58;21;26;0.5523809523809524;0.2;0.24761904761904763;0.6904761904761905;2495.1;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ category(5).[1@3] :~ value(forno,V1).[-1@2, V1] :~ value(funghi_e_tartufi,V1).[1@5, V1] :~ category(1), value(erbe_spezie_e_condimenti,V1).[V1@4, V1] 
4;1;1;3;105;105;22;69;14;0.20952380952380953;0.6571428571428571;0.13333333333333333;0.6111111111111112;107.369;:~ value(uova,V1).[V1@1, V1] 
4;2;2;3;105;105;20;68;17;0.19047619047619047;0.6476190476190476;0.1619047619047619;0.5405405405405406;516.39;:~ value(uova,V1).[V1@1, V1] :~ category(1), value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] 
4;3;3;3;105;105;34;32;39;0.3238095238095238;0.3047619047619048;0.37142857142857144;0.4657534246575342;1601.1;:~ value(uova,V1).[V1@1, V1] :~ value(pesce,V1).[-1@2, V1] :~ value(frittura,V1).[-1@3, V1] 
4;4;4;3;105;105;45;27;33;0.42857142857142855;0.2571428571428571;0.3142857142857143;0.5769230769230769;2711.98;:~ value(pesce,V1).[V1@2, V1] :~ value(uova,V1).[V1@1, V1] :~ category(5).[1@4] :~ category(1), value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] 
4;5;5;3;105;105;44;34;27;0.41904761904761906;0.3238095238095238;0.2571428571428571;0.6197183098591549;7968.29;:~ category(5).[1@2] :~ value(uova,V1).[1@1, V1] :~ category(1), value(erbe_spezie_e_condimenti,V1).[-V1@5, V1] :~ category(4), value(pesce,V1).[1@4, V1] :~ category(4), value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] 
7;1;1;3;105;105;10;75;20;0.09523809523809523;0.7142857142857143;0.19047619047619047;0.3333333333333333;94.501;:~ value(forno,V1).[-V1@1, V1] 
7;2;2;3;105;105;10;75;20;0.09523809523809523;0.7142857142857143;0.19047619047619047;0.3333333333333333;470.988;:~ value(forno,V1).[-V1@1, V1] :~ value(frutta,V1).[-1@2, V1] 
7;3;3;3;105;105;24;63;18;0.22857142857142856;0.6;0.17142857142857143;0.5714285714285714;1119.65;:~ value(forno,V1).[-V1@1, V1] :~ value(carne,V1).[-V1@2, V1] :~ value(frutta,V1).[-1@3, V1] 
7;4;4;3;105;105;30;49;26;0.2857142857142857;0.4666666666666667;0.24761904761904763;0.5357142857142857;3139.11;:~ value(forno,V1).[-V1@1, V1] :~ value(carne,V1).[-V1@3, V1] :~ value(dolcificanti,V1).[-V1@4, V1] :~ category(1), value(erbe_spezie_e_condimenti,V1).[V1@2, V1] 
7;5;5;3;105;105;48;6;51;0.45714285714285713;0.05714285714285714;0.4857142857142857;0.48484848484848486;11974;:~ category(3).[1@2] :~ value(verdure_e_ortaggi,V1).[1@1, V1] :~ category(5).[1@3] :~ category(4).[1@5] :~ category(1), value(erbe_spezie_e_condimenti,V1).[V1@4, V1] 
11;1;1;3;105;105;22;74;9;0.20952380952380953;0.7047619047619048;0.08571428571428572;0.7096774193548387;93.127;:~ value(forno,V1).[-V1@1, V1] 
11;2;2;3;105;105;50;9;46;0.47619047619047616;0.08571428571428572;0.4380952380952381;0.5208333333333334;347.066;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1).[-1@2, V1] 
11;3;3;3;105;105;36;45;24;0.34285714285714286;0.42857142857142855;0.22857142857142856;0.6;1695.01;:~ value(farinacei,V1).[-V1@1, V1] :~ value(forno,V1).[-V1@2, V1] :~ value(carne,V1).[-1@3, V1] 
11;4;4;3;105;105;41;17;47;0.3904761904761905;0.1619047619047619;0.44761904761904764;0.4659090909090909;5020.77;:~ value(farinacei,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ value(carne,V1).[-1@4, V1] :~ value(forno,V1).[-V1@3, V1] 
11;5;5;3;105;105;47;4;54;0.44761904761904764;0.0380952380952381;0.5142857142857142;0.46534653465346537;4305.07;:~ value(pesce,V1).[-1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1).[-1@2, V1] :~ value(frutta,V1).[V1@5, V1] :~ category(4), value(uova,V1).[V1@3, V1] 
14;1;1;3;105;105;37;13;55;0.3523809523809524;0.12380952380952381;0.5238095238095238;0.40217391304347827;48.462;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
14;2;2;3;105;105;37;7;61;0.3523809523809524;0.06666666666666667;0.580952380952381;0.37755102040816324;229.862;:~ value(farinacei,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] 
14;3;3;3;105;105;57;7;41;0.5428571428571428;0.06666666666666667;0.3904761904761905;0.5816326530612245;291.793;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[-1@2, V1] :~ value(dolcificanti,V1).[-1@3, V1] 
14;4;4;3;105;105;59;5;41;0.5619047619047619;0.047619047619047616;0.3904761904761905;0.59;384.737;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(forno,V1).[-V1@1, V1] :~ value(dolcificanti,V1).[-V1@4, V1] :~ value(farinacei,V1).[-1@3, V1] 
14;5;5;3;105;105;59;5;41;0.5619047619047619;0.047619047619047616;0.3904761904761905;0.59;327.144;:~ value(farinacei,V1).[-1@4, V1] :~ value(forno,V1).[-V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(dolcificanti,V1).[-V1@5, V1] :~ category(1), value(uova,V1).[-V1@3, V1] 
15;1;1;3;105;105;90;9;6;0.8571428571428571;0.08571428571428572;0.05714285714285714;0.9375;43.312;:~ category(3), value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
15;2;2;3;105;105;86;18;1;0.819047619047619;0.17142857142857143;0.009523809523809525;0.9885057471264368;132.28;:~ category(3).[1@2] :~ value(forno,V1).[-1@1, V1] 
15;3;3;3;105;105;86;18;1;0.819047619047619;0.17142857142857143;0.009523809523809525;0.9885057471264368;313.717;:~ category(3).[1@3] :~ value(forno,V1).[-1@2, V1] :~ category(3), value(farinacei,V1).[-V1@1, V1] 
15;4;4;3;105;105;87;17;1;0.8285714285714286;0.1619047619047619;0.009523809523809525;0.9886363636363636;408.049;:~ value(forno,V1).[-1@2, V1] :~ category(3).[1@4] :~ value(pasta,V1).[1@3, V1] :~ category(3), value(farinacei,V1).[-V1@1, V1] 
15;5;5;3;105;105;77;17;11;0.7333333333333333;0.1619047619047619;0.10476190476190476;0.875;1504.18;:~ value(pasta,V1).[1@3, V1] :~ value(forno,V1).[-1@2, V1] :~ category(3).[1@4] :~ value(funghi_e_tartufi,V1).[V1@5, V1] :~ category(3), value(farinacei,V1).[-V1@1, V1] 
