User 3: 0.8031747 accuracy; in the following cases: 
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.2, 0.2, 0.3] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.3, 0.2, 0.2] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.4, 0.3, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.5, 0.2, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.2, 0.2, 0.2, 0.2, 0.2] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.2, 0.2, 0.3, 0.3, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.2, 0.2, 0.4, 0.2, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.2, 0.3, 0.3, 0.2, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.2, 0.4, 0.2, 0.2, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.3, 0.0, 0.4, 0.3, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.3, 0.3, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.4, 0.0, 0.3, 0.3, 0.0] as factor vector
--------------------------------------------------------------
User 11: 0.7142857 accuracy; in the following cases: 
0.39767894 precision; 0.3946136 recall; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.2, 0.1, 0.3] as factor vector
0.3997421 precision; 0.39878544 recall; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.2, 0.2, 0.2] as factor vector
0.3966473 precision; 0.39291215 recall; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.2, 0.1, 0.2] as factor vector
0.3966473 precision; 0.39291215 recall; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.3, 0.1, 0.1] as factor vector
0.39767894 precision; 0.3946136 recall; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.3, 0.2, 0.0] as factor vector
--------------------------------------------------------------
User 14: 0.6698413 accuracy; in the following cases: 
0.70069236 precision; 0.48967424 recall; 0.1 treshold; 4.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.0, 0.5, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.1, 0.4, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.2, 0.3, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.3, 0.2, 0.0] as factor vector
