USER_ID;MAX_V;MAX_P;DATASET_SIZE;OPT;THRESHOLD;F1;F2;F3;F4;F5
33.0;1.0;5.0;105.0;66.0;0.07547;0.0;0.0;0.0;0.0;1.0
34.0;1.0;5.0;105.0;26.0;0.16822;0.0;0.0;0.0;0.0;1.0
35.0;1.0;5.0;105.0;63.0;0.01973;0.0;0.0;0.04767;0.43644;0.51589
36.0;1.0;5.0;105.0;37.0;0.13483;0.2;0.2;0.2;0.2;0.2
37.0;1.0;5.0;105.0;73.0;0.0;0.0;0.0;0.0;0.0;1.0
38.0;1.0;5.0;105.0;79.0;0.0;0.0;0.0;0.0;0.12159;0.87841
39.0;1.0;5.0;105.0;72.0;0.0;0.0;0.0;0.0;0.0;1.0
40.0;1.0;5.0;105.0;66.0;0.03774;0.0;0.0;0.0;0.0;1.0
41.0;1.0;5.0;105.0;6.0;0.09885;0.2;0.2;0.2;0.2;0.2
42.0;1.0;5.0;105.0;72.0;0.0;0.0;0.0;0.205;0.205;0.59
43.0;1.0;5.0;105.0;60.0;0.0;0.0;0.0;0.0;0.0;1.0
44.0;1.0;5.0;105.0;73.0;0.0;0.0;0.0;0.0;0.43925;0.56075
45.0;1.0;5.0;105.0;22.0;0.11698;0.2;0.2;0.2;0.2;0.2
46.0;1.0;5.0;105.0;67.0;0.01839;0.10604;0.10604;0.10604;0.10604;0.57585
47.0;1.0;5.0;105.0;78.0;0.00143;0.06667;0.06667;0.06667;0.12571;0.67429
48.0;1.0;5.0;105.0;72.0;0.0;0.0;0.0;0.205;0.205;0.59
49.0;1.0;5.0;105.0;60.0;0.0;0.0;0.0;0.0;0.0;1.0
50.0;1.0;5.0;105.0;73.0;0.0;0.0;0.0;0.0;0.43925;0.56075
51.0;1.0;5.0;105.0;22.0;0.11698;0.2;0.2;0.2;0.2;0.2
52.0;1.0;5.0;105.0;67.0;0.01839;0.10604;0.10604;0.10604;0.10604;0.57585
53.0;1.0;5.0;105.0;78.0;0.00143;0.06667;0.06667;0.06667;0.12571;0.67429
0.0;1.0;5.0;190.0;97.0;0.03311;0.02504;0.02504;0.02504;0.06933;0.85556
1.0;1.0;5.0;190.0;128.0;0.00149;0.0;0.0;0.0;0.0;1.0
2.0;1.0;5.0;190.0;115.0;0.03786;0.005;0.005;0.005;0.31071;0.67428
3.0;1.0;5.0;190.0;130.0;0.00064;0.0;0.0;0.00202;0.00202;0.99596
4.0;1.0;5.0;190.0;12.0;0.13668;0.14922;0.2127;0.2127;0.2127;0.2127
5.0;1.0;5.0;190.0;137.0;0.0;0.0;0.0;0.0;0.0;1.0
6.0;1.0;5.0;190.0;124.0;0.01149;0.0;0.0;0.0;0.0;1.0
7.0;1.0;5.0;190.0;41.0;0.14722;0.0;0.0;0.0;0.26085;0.73915
8.0;1.0;5.0;190.0;79.0;0.09824;0.0;0.0;0.0;0.38989;0.61011
9.0;1.0;5.0;190.0;56.0;0.13194;0.02315;0.02315;0.02315;0.17667;0.75389
10.0;1.0;5.0;190.0;16.0;0.12639;0.19786;0.20053;0.20053;0.20053;0.20053
11.0;1.0;5.0;190.0;72.0;0.1148;0.016;0.016;0.016;0.1616;0.7904
12.0;1.0;5.0;190.0;106.0;0.0;0.0;0.0;0.0;0.02;0.98
13.0;1.0;5.0;190.0;39.0;0.12218;0.0;0.0;0.0;0.5;0.5
14.0;1.0;5.0;190.0;138.0;0.03463;0.0;0.0;0.0;0.41795;0.58205
15.0;1.0;5.0;190.0;124.0;0.00266;0.0;0.0;0.0;0.0;1.0
16.0;1.0;5.0;190.0;30.0;0.11147;0.0;0.19361;0.19361;0.19361;0.41918
17.0;1.0;5.0;190.0;52.0;0.15814;0.0;0.0;0.0;0.05027;0.94973
