USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
20;3;5;3;157;157;0.8768577575683594;0.7483909924825033;0.7063376903533936;48186.7;:~ value(funghi_e_tartufi,V1).[V1@4, V1]:~ value(pesce,V1).[1@2, V1]:~ value(latticini,V1).[-1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(1).[V1@5, V1];5.0;0.0;0.01;0.02;0.15423;0.19423;0.62154
21;3;5;3;157;157;0.859872579574585;0.6829648017883301;0.6896761258443197;166729;:~ value(farinacei,V1).[-V1@2, V1]:~ value(pesce,V1).[1@3, V1]:~ category(3).[1@5]:~ value(verdure_e_ortaggi,V1), category(3).[V1@1, V1]:~ value(forno,V1), category(1).[1@4, V1];5.0;0.0;0.01;0.02625;0.03;0.43688;0.49688
22;3;5;3;157;157;0.8386411666870117;0.641119122505188;0.6097233692804972;235910;:~ value(farinacei,V1).[-V1@1, V1]:~ value(pesce,V1).[V1@4, V1]:~ category(4).[-1@2]:~ value(uova,V1), category(3).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(3).[V1@5, V1];5.0;0.0;0.02859;0.02859;0.10986;0.26282;0.57014
23;3;5;3;157;157;0.8174098332722982;0.6458810170491537;0.672245979309082;479506;:~ value(farinacei,V1).[-V1@1, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@3, V1]:~ value(forno,V1), category(3).[V1@4, V1]:~ value(pasta,V1), category(3).[1@5, V1];5.0;0.0;0.01;0.04557;0.18229;0.38107;0.38107
24;3;5;3;157;157;0.8428874810536703;0.6452391147613525;0.6744444370269775;322597;:~ value(frittura,V1).[V1@1, V1]:~ value(forno,V1).[1@4, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(stufato,V1), category(3).[1@3, V1]:~ value(forno,V1), category(3).[-V1@5, V1];5.0;0.0;0.01;0.02;0.04;0.08;0.85
25;3;5;3;157;157;0.8513800303141276;0.6785541375478109;0.6693816184997559;131745;:~ value(farinacei,V1).[-1@1, V1]:~ value(forno,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(1).[1@4, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@2, V1]:~ value(pesce,V1), category(4).[-1@5, V1];5.0;0.0;0.01;0.04;0.04;0.08;0.83
26;3;5;3;157;157;0.8556263446807861;0.5238095124562582;0.5928092002868652;73322.6;:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(carne,V1).[-1@3, V1]:~ value(stufato,V1), category(1).[-1@5, V1]:~ value(pesce,V1), category(3).[-V1@4, V1];5.0;0.0;0.01;0.04375;0.06763;0.43931;0.43931
27;3;5;3;157;157;0.9193205833435059;0.5787701606750488;0.626111110051473;4035.08;:~ value(farinacei,V1).[1@5, V1]:~ value(forno,V1).[1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@4, V1]:~ value(pesce,V1), category(4).[V1@3, V1];5.0;0.0;0.01;0.01727;0.26386;0.26386;0.445
28;3;5;3;157;157;0.8428874810536703;0.5520012776056925;0.6208534638086954;205815;:~ value(stufato,V1).[-V1@2, V1]:~ value(farinacei,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@3, V1]:~ value(verdure_e_ortaggi,V1), category(1).[-V1@5, V1]:~ value(forno,V1), category(3).[-1@4, V1];5.0;0.0;0.01;0.02;0.04;0.30846;0.62154
29;3;5;3;157;157;0.8853503068288168;0.7022525469462076;0.7547477086385092;53575.2;:~ value(frittura,V1).[-V1@3, V1]:~ value(uova,V1).[-V1@1, V1]:~ category(4).[1@2]:~ value(verdure_e_ortaggi,V1), category(1).[-1@4, V1]:~ value(stufato,V1), category(3).[-1@5, V1];5.0;0.0;0.01;0.0175;0.21688;0.25188;0.50375
30;3;5;3;157;157;0.7876857916514078;0.41044024626413983;0.5059523582458496;348473;:~ value(forno,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-V1@4, V1]:~ category(4).[1@1]:~ value(stufato,V1), category(4).[-1@5, V1];5.0;0.0;0.01;0.0275;0.21063;0.25063;0.50125
31;3;5;3;157;157;0.8386411666870117;0.5315257708231608;0.6536518732706705;220634;:~ value(forno,V1).[V1@1, V1]:~ value(stufato,V1).[-V1@3, V1]:~ value(uova,V1), category(4).[V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(4).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@2, V1];5.0;0.0;0.01;0.03667;0.12299;0.27678;0.55356
32;3;5;3;157;157;0.8513800303141276;0.6784280141194662;0.6336741050084432;75536.3;:~ value(latticini,V1).[1@2, V1]:~ value(uova,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1]:~ value(forno,V1), category(3).[V1@5, V1];5.0;0.0;0.01375;0.02375;0.055;0.205;0.7025
33;3;5;3;157;157;0.8768577575683594;0.6364484628041586;0.6975065867106119;48566.8;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(uova,V1).[1@3, V1]:~ value(funghi_e_tartufi,V1).[-1@5, V1]:~ value(uova,V1), category(4).[-1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@1, V1];5.0;0.0;0.01;0.032;0.04;0.419;0.499
34;3;5;3;157;157;0.8259023030598959;0.6128924290339152;0.6172152757644653;140763;:~ value(carne,V1).[-1@4, V1]:~ value(uova,V1).[V1@3, V1]:~ category(3).[1@2]:~ value(farinacei,V1), category(3).[-1@5, V1]:~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@1, V1];5.0;0.0;0.01;0.02;0.04;0.425;0.505
35;3;5;3;157;157;0.8471337159474691;0.5151515007019043;0.5727891127268473;234817;:~ value(funghi_e_tartufi,V1).[V1@3, V1]:~ value(uova,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ category(4).[-1@4]:~ category(1).[-1@5];5.0;0.0;0.01;0.02;0.06;0.415;0.495
36;3;5;3;157;157;0.8259023825327555;0.6841948827107748;0.6740078926086426;61593.3;:~ value(pesce,V1).[1@5, V1]:~ value(pasta,V1).[1@2, V1]:~ value(forno,V1).[-V1@1, V1]:~ value(uova,V1), category(3).[V1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[V1@3, V1];5.0;0.0;0.01;0.02;0.10667;0.10667;0.75667
