USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
25;3;5;3;157;53;0.7987421353658041;0.5728758176167806;0.5638888676961263;131745;:~ value(farinacei,V1).[-1@1, V1]:~ value(forno,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(1).[1@4, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@2, V1]:~ value(pesce,V1), category(4).[-1@5, V1];5.0;0.0;0.01;0.04;0.04;0.08;0.83
26;3;5;3;157;53;0.7484277089436849;0.4251852035522461;0.5010141928990682;73322.6;:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(carne,V1).[-1@3, V1]:~ value(stufato,V1), category(1).[-1@5, V1]:~ value(pesce,V1), category(3).[-V1@4, V1];5.0;0.0;0.01;0.04375;0.06763;0.43931;0.43931
27;3;5;3;157;53;0.8616352081298828;0.8632098833719889;0.7239057223002116;4035.08;:~ value(farinacei,V1).[1@5, V1]:~ value(forno,V1).[1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@4, V1]:~ value(pesce,V1), category(4).[V1@3, V1];5.0;0.0;0.01;0.01727;0.26386;0.26386;0.445
28;3;5;3;157;53;0.7232704162597656;0.375;0.4018518527348836;205815;:~ value(stufato,V1).[-V1@2, V1]:~ value(farinacei,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@3, V1]:~ value(verdure_e_ortaggi,V1), category(1).[-V1@5, V1]:~ value(forno,V1), category(3).[-1@4, V1];5.0;0.0;0.01;0.02;0.04;0.30846;0.62154
29;3;5;3;157;53;0.8867924213409424;0.7241830031077067;0.8119047482808431;53575.2;:~ value(frittura,V1).[-V1@3, V1]:~ value(uova,V1).[-V1@1, V1]:~ category(4).[1@2]:~ value(verdure_e_ortaggi,V1), category(1).[-1@4, V1]:~ value(stufato,V1), category(3).[-1@5, V1];5.0;0.0;0.01;0.0175;0.21688;0.25188;0.50375
30;3;5;3;157;53;0.7861634890238444;0.3692307770252228;0.3878788153330485;348473;:~ value(forno,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-V1@4, V1]:~ category(4).[1@1]:~ value(stufato,V1), category(4).[-1@5, V1];5.0;0.0;0.01;0.0275;0.21063;0.25063;0.50125
31;3;5;3;157;53;0.7610063552856445;0.4141414165496826;0.4888888994852702;220634;:~ value(forno,V1).[V1@1, V1]:~ value(stufato,V1).[-V1@3, V1]:~ value(uova,V1), category(4).[V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(4).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@2, V1];5.0;0.0;0.01;0.03667;0.12299;0.27678;0.55356
32;3;5;3;157;53;0.710691769917806;0.4960317611694336;0.5104166666666666;75536.3;:~ value(latticini,V1).[1@2, V1]:~ value(uova,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1]:~ value(forno,V1), category(3).[V1@5, V1];5.0;0.0;0.01375;0.02375;0.055;0.205;0.7025
33;3;5;3;157;53;0.8616352081298828;0.46990740299224854;0.5984848340352377;48566.8;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(uova,V1).[1@3, V1]:~ value(funghi_e_tartufi,V1).[-1@5, V1]:~ value(uova,V1), category(4).[-1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@1, V1];5.0;0.0;0.01;0.032;0.04;0.419;0.499
34;3;5;3;157;53;0.7232704957326254;0.46954019864400226;0.5028735796610514;140763;:~ value(carne,V1).[-1@4, V1]:~ value(uova,V1).[V1@3, V1]:~ category(3).[1@2]:~ value(farinacei,V1), category(3).[-1@5, V1]:~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@1, V1];5.0;0.0;0.01;0.02;0.04;0.425;0.505
35;3;5;3;157;53;0.8490565617879232;0.7319624423980713;0.6851851940155029;234817;:~ value(funghi_e_tartufi,V1).[V1@3, V1]:~ value(uova,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ category(4).[-1@4]:~ category(1).[-1@5];5.0;0.0;0.01;0.02;0.06;0.415;0.495
36;3;5;3;157;53;0.7735849221547445;0.5214285850524902;0.5590909322102865;61593.3;:~ value(pesce,V1).[1@5, V1]:~ value(pasta,V1).[1@2, V1]:~ value(forno,V1).[-V1@1, V1]:~ value(uova,V1), category(3).[V1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[V1@3, V1];5.0;0.0;0.01;0.02;0.10667;0.10667;0.75667
37;3;5;3;157;53;0.8238993485768636;0.5093934535980225;0.5437580347061157;73095.6;:~ value(frittura,V1).[-V1@3, V1]:~ value(funghi_e_tartufi,V1).[-1@4, V1]:~ category(5).[-1@2]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[-1@5, V1];5.0;0.0;0.01;0.02;0.04;0.425;0.505
38;3;5;3;157;53;0.7987421353658041;0.6126983960469564;0.6111111243565878;47169.4;:~ value(carne,V1).[-1@3, V1]:~ value(pasta,V1).[1@1, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(farinacei,V1), category(3).[-V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(1).[-V1@4, V1];5.0;0.0;0.01;0.07;0.10066;0.25705;0.5623
39;3;5;3;157;53;0.7735849221547445;0.4208754301071167;0.5071301460266113;236542;:~ value(uova,V1).[-1@3, V1]:~ value(frittura,V1).[1@4, V1]:~ value(farinacei,V1).[-V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-1@5, V1];5.0;0.0;0.01;0.02619;0.02857;0.05714;0.8781
40;3;5;3;157;53;0.7987421353658041;0.4743589560190837;0.5385620991388956;212623;:~ value(verdure_e_ortaggi,V1).[V1@3, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(forno,V1).[-V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(1).[1@5, V1];5.0;0.0;0.01;0.03606;0.04945;0.42133;0.48315
41;3;5;3;157;53;0.7358490626017252;0.42205127080281574;0.49658119678497314;129203;:~ value(verdure_e_ortaggi,V1).[-V1@2, V1]:~ value(carne,V1).[-V1@4, V1]:~ value(pesce,V1).[-V1@5, V1]:~ value(frittura,V1).[-1@1, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@3, V1];5.0;0.0;0.01;0.032;0.06286;0.25541;0.63973
42;3;5;3;157;53;0.8490566412607828;0.4994949499766032;0.5805555582046509;13143.5;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(carne,V1).[-V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ category(4).[-1@5]:~ value(frittura,V1), category(4).[V1@3, V1];5.0;0.0;0.01;0.032;0.05;0.1;0.808
